Year,ICPSR State Code,Alphanumeric State Code,State,VEP Total Ballots Counted,VEP Highest Office,VAP Highest Office,Total Ballots Counted,Highest Office,Voting-Eligible Population (VEP),Voting-Age Population (VAP),% Non-citizen,Prison,Probation,Parole,Total Ineligible Felon,State Abv
2012,34,26,Missouri,,62.20%,59.60%,,"2,757,323","4,432,957",4628500,2.50%,"30,714","55,470","20,672","80,785",MO
2012,64,27,Montana,63.50%,62.50%,61.60%,"491,966","484,048","774,476",785454,0.90%,"3,592",0,0,"3,592",MT
2012,35,28,Nebraska,61.10%,60.30%,56.90%,"804,245","794,379","1,316,915",1396507,4.70%,"4,466","14,260","1,383","13,407",NE
2012,65,29,Nevada,56.50%,56.40%,48.20%,"1,016,664","1,014,918","1,800,969",2105976,13.30%,"12,883","11,321","5,379","24,262",NV
2012,4,30,New Hampshire,70.90%,70.20%,67.80%,"718,700","710,972","1,013,420",1047978,3.00%,"2,672",0,0,"2,672",NH
2012,12,31,New Jersey,62.20%,61.50%,53.20%,"3,683,638","3,640,292","5,918,182",6847503,12.10%,"21,759","114,886","14,987","97,636",NJ
2012,66,32,New Mexico,54.80%,54.60%,49.80%,"786,522","783,757","1,436,363",1573400,7.30%,"6,553","21,381","5,078","22,963",NM
2012,13,33,New York,53.50%,53.10%,46.10%,"7,128,852","7,074,723","13,324,107",15344671,12.50%,"49,889",0,"46,222","96,111",NY
2012,47,34,North Carolina,65.40%,64.80%,60.10%,"4,542,488","4,505,372","6,947,954",7496980,6.10%,"35,567","96,070","4,359","90,843",NC
2012,36,35,North Dakota,60.40%,59.80%,58.70%,"325,564","322,627","539,164",549955,1.70%,"1,500",0,0,"1,500",ND
2012,24,36,Ohio,65.10%,64.50%,62.70%,"5,632,423","5,580,822","8,649,495",8896930,2.20%,"50,313",0,0,"50,313",OH
2012,53,37,Oklahoma,,49.20%,46.30%,,"1,334,872","2,713,268",2885093,4.50%,"25,225","25,506","2,310","41,053",OK
2012,72,38,Oregon,64.20%,63.10%,58.70%,"1,820,507","1,789,270","2,836,101",3050747,6.60%,"13,607",0,0,"13,607",OR
2012,14,39,Pennsylvania,,59.50%,57.20%,,"5,742,040","9,651,432",10037099,3.30%,"50,054",0,0,"50,054",PA
2012,5,40,Rhode Island,,58.00%,53.40%,,"446,049","768,918",834983,7.50%,"3,249",0,0,"3,249",RI
2012,48,41,South Carolina,56.80%,56.30%,53.60%,"1,981,516","1,964,118","3,486,838",3662322,3.50%,"21,895","34,945","6,116","46,532",SC
2012,37,42,South Dakota,60.10%,59.30%,57.60%,"368,270","363,815","613,190",631472,1.90%,"3,574",0,"2,761","6,335",SD
2012,54,43,Tennessee,52.30%,51.90%,49.40%,"2,478,870","2,458,577","4,736,084",4976284,3.30%,"28,135","64,430","13,138","75,421",TN
2012,49,44,Texas,,49.60%,41.70%,,"7,993,851","16,119,973",19185395,13.50%,"157,564","405,473","112,288","484,753",TX
2012,67,45,Utah,56.10%,55.50%,51.40%,"1,028,786","1,017,440","1,833,339",1978956,7.00%,"6,611",0,0,"6,611",UT
2012,6,46,Vermont,61.20%,60.70%,59.60%,"301,793","299,290","493,355",502242,1.80%,0,0,0,0,VT
2012,40,47,Virginia,66.60%,66.10%,60.70%,"3,888,186","3,854,489","5,834,676",6348827,7.10%,"36,425","52,956","1,983","66,475",VA
2012,73,48,Washington,65.80%,64.80%,58.60%,"3,172,939","3,125,516","4,822,060",5329782,8.20%,"16,355","88,339","8,895","72,070",WA
2012,56,49,West Virginia,,46.30%,45.50%,,"670,438","1,447,066",1472642,0.80%,"7,052","8,573","2,052","13,648",WV
2012,25,50,Wisconsin,,72.90%,69.50%,,"3,068,434","4,209,370",4417273,3.20%,"21,987","46,328","20,023","66,564",WI
2012,68,51,Wyoming,59.00%,58.60%,56.40%,"250,701","249,061","425,142",441726,2.50%,"2,163","5,162",762,"5,661",WY
